date_de_tirage;jour_de_la_semaine_de_tirage;jour_de_tirage;mois_de_tirage;annee_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus
2025-05-19;Lundi;19;5;2025;8;30;43;42;33;4;8-30-33-42-43+4;0;8000000.0;0;149136.4;23;8066.8;220;596.7;1122;69.9;10561;26.7;18465;11.8;168234;5.1;291417;2.2;10;20000.0;L 2746 5173, M 2691 6027, T 6485 8145, Q 7934 6645, Q 6503 7494, D 7750 7686, U 9420 9369, M 5279 3767, P 7800 1396, C 7544 1922;5;26;28;40;41;5-26-28-40-41;0;108660.0;168;709.0;7791;39.3;123358;3.0;534322
2025-05-17;Samedi;17;5;2025;18;13;9;12;14;3;9-12-13-14-18+3;0;7000000.0;8;30164.7;119;494.9;889;238.9;4161;30.5;34706;13.1;51180;6.9;424006;3.3;480916;2.2;10;20000.0;M 2114 1720, S 9143 3584, U 3630 7073, F 6172 1904, K 8336 9328, M 1601 2735, W 7840 1813, L 3172 3770, U 9366 4516, J 7419 5938;4;7;9;13;38;4-7-9-13-38;5;34890.0;769;165.6;24081;13.6;274029;3.0;4481228
2025-05-14;Mercredi;14;5;2025;34;42;31;12;43;10;12-31-34-42-43+10;0;6000000.0;0;188440.8;25;9377.3;331;501.1;1243;79.7;14481;24.6;17803;15.5;207772;5.2;279060;2.2;10;20000.0;D 9960 1380, N 8367 6239, S 3574 2928, I 9398 4158, J 4783 7023, P 0715 3098, F 1118 8498, B 5587 8016, H 6914 4181, U 9532 0217;20;30;32;42;46;20-30-32-42-46;1;126731.0;152;1033.4;7607;53.1;122252;3.0;9725711
2025-05-12;Lundi;12;5;2025;12;24;6;16;2;4;2-6-12-16-24+4;0;5000000.0;7;21091.1;90;400.3;894;145.3;2613;29.7;24354;11.4;27645;7.8;247738;3.4;285126;2.2;10;20000.0;V 1973 9646, N 0590 8577, J 0655 2811, R 9630 0578, T 3515 3096, G 8528 5692, K 5722 6341, U 6971 1169, L 5227 5628, P 1027 6909;4;11;12;15;28;4-11-12-15-28;5;21657.0;502;148.8;15828;12.1;175263;3.0;3250313
2025-05-10;Samedi;10;5;2025;49;12;42;29;13;9;12-13-29-42-49+9;0;4000000.0;4;57547.8;52;1080.4;483;419.5;2606;46.4;22754;19.1;37764;8.9;332577;4.0;451062;2.2;10;20000.0;V 1340 4163, A 4066 3215, T 1214 8676, Q 4458 2758, J 6346 4852, K 2198 5388, G 8813 4283, I 4354 6035, C 8002 3562, S 6529 9030;23;27;37;40;49;23-27-37-40-49;1;166551.0;257;740.2;11939;40.9;179948;3.0;6054942
2025-05-07;Mercredi;7;5;2025;32;36;1;41;46;9;1-32-36-41-46+9;0;3000000.0;1;170093.0;14;2965.3;184;813.7;991;90.2;9240;34.8;17172;14.5;156213;6.3;345128;2.2;10;20000.0;L 5968 2832, E 5314 9714, S 8046 8539, U 5911 5467, T 7148 0584, Q 1915 4426, L 0341 2752, B 4583 4043, P 6584 3855, O 3650 4549;4;24;25;33;46;4-24-25-33-46;3;41618.0;216;631.1;9252;37.8;142385;3.0;462656
2025-05-05;Lundi;5;5;2025;8;34;38;47;9;3;8-9-34-38-47+3;0;2000000.0;1;132704.6;26;1245.7;160;730.1;1076;64.8;8942;28.0;18501;10.5;154537;5.0;291626;2.2;10;20000.0;I 7810 0856, G 8763 6182, A 9950 9040, C 5670 4784, P 7029 2178, D 2324 7761, N 6598 8177, A 0401 9526, D 9900 5386, D 1184 3747;2;43;44;47;49;2-43-44-47-49;0;102453.0;138;926.8;6606;49.7;97764;3.0;5538098
2025-05-03;Samedi;3;5;2025;38;39;37;19;42;5;19-37-38-39-42+5;1;2000000.0;1;206261.7;32;1573.2;289;628.3;1885;57.5;15025;25.9;27353;11.1;225868;5.3;499267;2.2;10;20000.0;R 1357 6236, Q 2280 9564, R 2244 7524, O 2750 7870, F 0887 0983, K 9379 5910, B 7836 1127, D 4241 7211, T 1617 7492, O 3817 3524;2;4;6;10;17;2-4-6-10-17;5;31899.0;844;146.5;22732;13.9;241980;3.0;315873
2025-04-30;Mercredi;30;4;2025;8;31;42;3;5;8;3-5-8-31-42+8;1;4000000.0;1;171644.1;37;1132.2;416;363.2;2389;37.7;18731;17.3;30566;8.2;251760;3.9;343921;2.2;10;20000.0;C 4681 0081, F 9176 3819, A 1897 8319, E 5448 0485, B 9733 9205, N 7369 0560, K 7370 6075, F 9113 4565, F 7874 3933, O 0370 6238;22;29;31;43;45;22-29-31-43-45;1;125237.0;203;695.6;8954;40.5;137497;3.0;3160151
2025-04-28;Lundi;28;4;2025;6;3;14;35;36;2;3-6-14-35-36+2;0;3000000.0;0;140585.0;28;6246.3;208;595.0;1050;70.4;10980;24.2;16423;12.6;171979;4.7;241328;2.2;10;20000.0;N 8963 0761, K 4809 0739, C 9330 4542, S 1341 5727, D 9271 2411, Q 5034 2145, S 1459 6269, A 9664 2974, H 6664 7683, Q 1038 5075;15;17;18;28;46;15-17-18-28-46;0;100766.0;164;602.3;8597;29.5;128293;3.0;6334474
2025-04-26;Samedi;26;4;2025;39;15;23;45;3;9;3-15-23-39-45+9;0;2000000.0;2;110017.5;55;976.4;498;388.9;2213;52.3;19876;20.9;31838;10.1;280899;4.5;436093;2.2;10;20000.0;P 6326 9253, B 5795 2288, P 3100 5915, O 7625 5254, N 9574 7461, B 1098 0914, U 3753 0949, U 7710 6414, V 3729 8006, N 2038 0329;9;15;19;27;33;9-15-19-27-33;1;160284.0;403;333.6;18528;18.6;231043;3.0;6830133
2025-04-23;Mercredi;23;4;2025;5;3;35;20;15;8;3-5-15-20-35+8;1;12000000.0;3;62364.7;44;1037.8;520;316.7;2375;41.4;21613;16.3;31232;8.8;272752;4.0;400037;2.2;10;20000.0;F 3031 5206, C 0556 2552, I 9518 9402, M 6356 5497, N 8140 1123, U 1997 9690, Q 5325 8346, U 9304 6145, D 0002 9067, L 0090 1761;10;14;36;40;43;10-14-36-40-43;3;44748.0;151;1062.6;8509;48.4;136576;3.0;2502663
2025-04-21;Lundi;21;4;2025;5;13;30;48;8;5;5-8-13-30-48+5;0;11000000.0;1;146608.8;73;490.1;487;265.0;2615;29.4;18514;14.9;31658;6.8;227699;3.7;338988;2.2;10;20000.0;R 5029 3555, C 4734 7102, I 8854 1637, V 6803 4663, G 1012 1247, M 1359 8313, E 8697 1803, H 4222 6877, S 3991 5979, H 0707 5744;8;9;36;45;46;8-9-36-45-46;0;107000.0;128;981.5;6604;48.9;111546;3.0;336940
2025-04-19;Samedi;19;4;2025;19;11;32;16;20;6;11-16-19-20-32+6;0;10000000.0;1;299942.0;66;1109.2;692;381.5;3246;48.6;30988;18.3;44282;9.9;425028;4.1;526932;2.2;10;20000.0;A 1646 0453, P 1073 3170, B 1463 9656, C 8983 1966, J 1830 8269, P 1053 7394, O 0840 1608, R 1273 2105, R 0849 4757, I 2289 3768;4;8;11;21;30;4-8-11-21-30;4;250000.0;850;198.7;27684;15.6;304238;3.0;7627660
2025-04-16;Mercredi;16;4;2025;13;38;27;40;39;10;13-27-38-39-40+10;0;7000000.0;0;191442.3;34;7004.9;307;548.9;1427;70.5;14982;24.1;19734;14.2;217892;5.1;300934;2.2;10;20000.0;I 1066 0168, I 7705 4747, S 3496 3392, T 1549 1502, C 4231 3300, J 2430 1831, A 9402 0244, C 5770 1943, N 5613 9090, H 2624 4544;23;25;30;39;40;23-25-30-39-40;1;128732.0;170;887.8;8127;47.7;134456;3.0;5358798
2025-04-14;Lundi;14;4;2025;33;40;25;31;37;9;25-31-33-37-40+9;0;6000000.0;2;74801.7;33;1106.5;216;609.7;1113;70.7;11169;25.3;16707;13.1;160870;5.4;293143;2.2;10;20000.0;D 0533 0553, D 5327 5743, E 2560 8742, F 6596 0832, C 4500 4010, Q 8567 0813, G 6326 1608, A 3956 2756, F 7339 6460, F 1807 8685;1;3;12;15;46;1-3-12-15-46;1;109337.0;269;361.4;11430;21.8;151062;3.0;9400727
2025-04-12;Samedi;12;4;2025;3;18;10;13;47;1;3-10-13-18-47+1;0;5000000.0;0;269513.8;54;6209.1;775;306.1;2531;56.0;31640;16.1;31909;12.4;398038;3.9;360089;2.2;10;20000.0;T 4975 5617, T 5836 5186, P 4945 7163, T 5282 8386, I 7740 8499, J 5414 0078, B 2959 7888, O 7359 9346, G 6229 8472, V 1661 3574;16;19;23;44;48;16-19-23-44-48;1;177000.0;308;595.2;14248;33.0;213666;3.0;9827527
2025-04-09;Mercredi;9;4;2025;36;16;12;47;46;9;12-16-36-46-47+9;0;4000000.0;0;175352.7;24;9089.6;236;654.1;1313;70.2;11933;27.8;21631;11.9;195133;5.2;348820;2.2;10;20000.0;U 9097 7943, Q 0444 3067, B 3944 6448, O 8527 8852, V 4551 0846, N 6584 3867, A 5768 8638, I 6133 4318, B 0046 5736, P 3655 9678;1;2;6;13;20;1-2-6-13-20;4;31582.0;524;184.8;17309;14.3;192928;3.0;4628122
2025-04-07;Lundi;7;4;2025;21;34;13;38;2;1;2-13-21-34-38+1;0;3000000.0;1;157083.5;26;1474.6;310;446.0;1077;76.7;13527;21.9;15215;15.2;193550;4.7;213239;2.2;10;20000.0;K 8895 8635, W 7682 5219, L 7531 2079, N 0732 3300, U 8628 8586, P 9599 6142, L 4114 6585, I 1313 5676, P 4706 0763, U 2917 1452;7;24;33;38;40;7-24-33-38-40;2;53242.0;183;637.4;8171;36.7;120985;3.0;8902258
2025-04-05;Samedi;5;4;2025;14;30;22;8;27;7;8-14-22-27-30+7;0;2000000.0;6;34071.8;120;415.8;861;209.0;4811;22.3;30255;12.7;55903;5.3;350148;3.4;626261;2.2;10;20000.0;A 9384 1194, B 2254 1996, P 4649 6501, Q 8366 8926, A 5993 6329, J 4727 8593, L 2736 3696, T 8872 7885, Q 2035 8571, O 7286 8680;14;21;29;38;49;14-21-29-38-49;4;42759.0;319;584.3;13824;34.6;195473;3.0;7196936
